condition_id,time,datatype,t_presim,absorption rate,clearance,distribution Q,absorption rate_scale,clearance_scale,distribution Q_scale,y gut,y central,y peripheral,Vgut,Vperi,Vcent,y gut_std,y central_std,y peripheral_std,Vgut_std,Vperi_std,Vcent_std
,0.0,data,0.0,0.0,0.0,0.0,2,2,2,0.79310021973011,-0.363419997628906,0.15959914837442948,1.0285719787934824,1.0971198855781081,0.6641157092790192,0.2,0.2,0.2,0.2,0.2,0.2
,1.0,data,0.0,0.0,0.0,0.0,2,2,2,0.41561838412734975,0.5645574258643606,-0.16198676720163996,0.971291978663772,1.071047547080546,0.8768606869986227,0.2,0.2,0.2,0.2,0.2,0.2
,2.0,data,0.0,0.0,0.0,0.0,2,2,2,0.43926108956654397,0.34405195222245977,0.3207725370567686,0.9085617200354557,0.7181489647403769,1.0267546538422694,0.2,0.2,0.2,0.2,0.2,0.2
,3.0,data,0.0,0.0,0.0,0.0,2,2,2,0.14041951857089158,0.31521880969750427,0.16577026875611284,1.023448355540236,0.893720826436791,1.2106668926760673,0.2,0.2,0.2,0.2,0.2,0.2
,4.0,data,0.0,0.0,0.0,0.0,2,2,2,-0.3415634621100785,0.25062541423206025,-0.24256621749834584,1.266769541176539,0.9010321561137388,0.9307324712590357,0.2,0.2,0.2,0.2,0.2,0.2
,5.0,data,0.0,0.0,0.0,0.0,2,2,2,-0.014082412267910694,0.1792138675920114,-0.3363264761424506,0.9568227033553454,0.8365123280906671,1.5114751343691797,0.2,0.2,0.2,0.2,0.2,0.2
,6.0,data,0.0,0.0,0.0,0.0,2,2,2,-0.07468151850295857,-0.10044989783138036,0.547576906711774,0.9886086118300007,0.8023841656924499,0.9746817656256093,0.2,0.2,0.2,0.2,0.2,0.2
,7.0,data,0.0,0.0,0.0,0.0,2,2,2,0.13773668876820308,0.28189764156722785,-0.08076276757956313,0.941688207770889,1.1650054599217983,1.0681779262111042,0.2,0.2,0.2,0.2,0.2,0.2
,8.0,data,0.0,0.0,0.0,0.0,2,2,2,0.14376819541875557,0.023486875142608075,-0.08534538671726519,0.9861301847146275,1.1525170455410196,1.2808545772927413,0.2,0.2,0.2,0.2,0.2,0.2
,9.0,data,0.0,0.0,0.0,0.0,2,2,2,0.14749617011211041,0.2625833421852095,-0.20402082934090107,1.0272054300237483,0.8815925958359074,1.405127816500408,0.2,0.2,0.2,0.2,0.2,0.2
,10.0,data,0.0,0.0,0.0,0.0,2,2,2,0.18086111579796615,0.30928930777074837,0.054784410532386515,0.5064718233728063,1.5657447551317332,1.1192649625302642,0.2,0.2,0.2,0.2,0.2,0.2
